236,ARR,ARMOUR Residential REIT,,,100
237,ARR^A,ARMOUR Residential REIT,,,100
238,ARR^B,ARMOUR Residential REIT,,,100
239,AWI,Armstrong World Industries Inc,US,stock,100
240,ARW,Arrow Electronics,,,100
241,AJG,Arthur J. Gallagher & Co.,US,stock,100
242,APAM,Artisan Partners Asset Management Inc.,US,stock,100
243,ASA,ASA Gold and Precious Metals Limited,US,stock,100
244,ABG,Asbury Automotive Group Inc,US,stock,100
245,AHP,Ashford Hospitality Prime,,,100
246,AHT,Ashford Hospitality Trust Inc,US,stock,100
247,AHT^A,Ashford Hospitality Trust Inc,US,stock,100
248,AHT^D,Ashford Hospitality Trust Inc,US,stock,100
249,AHT^E,Ashford Hospitality Trust Inc,US,stock,100
250,ASH,Ashland Inc.,US,stock,100
251,APB,Asia Pacific Fund,,,100
252,GRR,Asia Tigers Fund,,,100
253,ASPN,Aspen Aerogels,,,100
254,AHL,Aspen Insurance Holdings Limited,US,stock,100
255,AHL^A,Aspen Insurance Holdings Limited,US,stock,100
256,AHL^B,Aspen Insurance Holdings Limited,US,stock,100
257,AHL^C,Aspen Insurance Holdings Limited,US,stock,100
258,ASB,Associated Banc-Corp,US,stock,100
259,ASB^B,Associated Banc-Corp,US,stock,100
260,ASB^C,Associated Banc-Corp,US,stock,100
261,AC,Associated Capital Group,,,100
262,AIZ,Assurant,,,100
263,AGO,Assured Guaranty Ltd.,US,stock,100
264,AGO^B,Assured Guaranty Ltd.,US,stock,100
265,AGO^E,Assured Guaranty Ltd.,US,stock,100
266,AGO^F,Assured Guaranty Ltd.,US,stock,100
267,AF,Astoria Financial Corporation,US,stock,100
268,AF^C,Astoria Financial Corporation,US,stock,100
269,AZN,Astrazeneca PLC,US,stock,100
270,T,AT&T Inc.,US,stock,100
271,ATTO,Atento S.A.,US,stock,100
272,AT,Atlantic Power Corporation,US,stock,100
273,ATLS,Atlas Energy,,,100
274,ARP,Atlas Resource Partners,,,100
275,ARP^D,Atlas Resource Partners,,,100
276,ARP^E,Atlas Resource Partners,,,100
277,ATO,Atmos Energy Corporation,US,stock,100
278,ATW,Atwood Oceanics,,,100
279,AUO,AU Optronics Corp,US,stock,100
280,ATHM,Autohome Inc.,US,stock,100
281,ALV,Autoliv,,,100
282,AN,AutoNation,,,100
283,AZO,AutoZone,,,100
284,AVB,AvalonBay Communities,,,100
285,AGR,Avangrid,,,100
286,ACP,Avenue Income Credit Strategies Fund,US,stock,100
287,AVY,Avery Dennison Corporation,US,stock,100
288,AVG,AVG Technologies N.V.,US,stock,100
289,AVH,Avianca Holdings S.A.,US,stock,100
290,AVA,Avista Corporation,US,stock,100
291,AV,Aviva plc,US,stock,100
292,AVV,Aviva plc,US,stock,100
293,AVT,Avnet,,,100
294,AVP,Avon Products,,,100
295,AVX,AVX Corporation,US,stock,100
296,AXTA,Axalta Coating Systems Ltd.,US,stock,100
297,AXLL,Axiall Corporation,US,stock,100
298,AXS,Axis Capital Holdings Limited,US,stock,100
299,AXS^C,Axis Capital Holdings Limited,US,stock,100
300,AXS^D,Axis Capital Holdings Limited,US,stock,100
301,AZUR,Azure Midstream Partners,,,100
302,AZZ,AZZ Inc.,US,stock,100
303,BGS,B&G Foods,,,100
304,BW,Babcock,US,stock,100
305,MCI,Babson Capital Corporate Investors,US,stock,100
306,BGH,Babson Capital Global Short Duration High Yield Fund,US,stock,100
307,MPV,Babson Capital Participation Investors,US,stock,100
308,BMI,Badger Meter,,,100
309,BHI,Baker Hughes Incorporated,US,stock,100
310,BBN,BalckRock Taxable Municipal Bond Trust,US,stock,100
311,BLL,Ball Corporation,US,stock,100
312,BGE^B,Baltimore Gas & Electric Company,US,stock,100
313,BANC,Banc of California,,,100
314,BANC^C,Banc of California,,,100
315,BANC^D,Banc of California,,,100
316,BOCA,Banc of California,,,100
317,BBVA,Banco Bilbao Viscaya Argentaria S.A.,US,stock,100
318,BBD,Banco Bradesco Sa,US,stock,100
319,BBDO,Banco Bradesco Sa,US,stock,100
320,BCH,Banco De Chile,US,stock,100
321,BLX,Banco Latinoamericano de Comercio Exterior,,,100
322,BSBR,Banco Santander Brasil SA,US,stock,100
323,BSAC,Banco Santander Chile,US,stock,100
324,SAN,Banco Santander,,,100
325,SAN^A,Banco Santander,,,100
326,SAN^B,Banco Santander,,,100
327,SAN^C,Banco Santander,,,100
328,SAN^I,Banco Santander,,,100
329,CIB,BanColombia S.A.,US,stock,100
330,BXS,BancorpSouth,,,100
331,BAC,Bank of America Corporation,US,stock,100
332,BAC.WS.A,Bank of America Corporation,US,stock,100
333,BAC.WS.B,Bank of America Corporation,US,stock,100
334,BAC^D,Bank of America Corporation,US,stock,100
335,BAC^E,Bank of America Corporation,US,stock,100
336,BAC^I,Bank of America Corporation,US,stock,100
337,BAC^L,Bank of America Corporation,US,stock,100
338,BAC^W,Bank of America Corporation,US,stock,100
339,BAC^Y,Bank of America Corporation,US,stock,100
340,BAC^Z,Bank of America Corporation,US,stock,100
341,BML^G,Bank of America Corporation,US,stock,100
342,BML^H,Bank of America Corporation,US,stock,100
343,BML^I,Bank of America Corporation,US,stock,100
344,BML^J,Bank of America Corporation,US,stock,100
345,BML^L,Bank of America Corporation,US,stock,100
346,BOH,Bank of Hawaii Corporation,US,stock,100
347,BMO,Bank Of Montreal,US,stock,100
348,BK,Bank Of New York Mellon Corporation (The),US,stock,100
349,BK^C,Bank Of New York Mellon Corporation (The),US,stock,100
350,BNS,Bank of Nova Scotia (The),US,stock,100
351,RATE,Bankrate,,,100
352,BKU,BankUnited,,,100
353,BCS,Barclays PLC,US,stock,100
354,BCS^,Barclays PLC,US,stock,100
355,BCS^A,Barclays PLC,US,stock,100
356,BCS^C,Barclays PLC,US,stock,100
357,BCS^D,Barclays PLC,US,stock,100
358,BNED,Barnes & Noble Education,,,100
359,BKS,Barnes & Noble,,,100
360,B,Barnes Group,,,100
361,CUDA,Barracuda Networks,,,100
362,ABX,Barrick Gold Corporation,US,stock,100
363,BAS,Basic Energy Services,,,100
364,BXLT,Baxalta Incorporated,US,stock,100
365,BAX,Baxter International Inc.,US,stock,100
